Unnamed: 0,mots,poids,serie
0,be,41219.03526398409,angel
1,you,22663.966890049225,angel
2,not,15061.547925846213,angel
3,the,12689.771355610728,angel
4,to,12392.318809985223,angel
5,it,11866.995780882153,angel
6,do,10326.93698050208,angel
7,we,8736.75785458653,angel
8,that,8202.100466275451,angel
9,have,6753.2868703147005,angel
10,what,6457.906896223362,angel
11,and,6087.780000724963,angel
12,he,5632.03030252979,angel
13,of,5611.478381955395,angel
14,get,5207.137306786151,angel
15,this,5204.430378748684,angel
16,know,4749.899621122341,angel
17,in,4490.659069481969,angel
18,go,4316.127558422024,angel
19,they,4315.71547070622,angel
20,will,4122.920379490823,angel
21,she,4053.5751348248505,angel
22,can,3708.952114545716,angel
23,for,3551.050865721814,angel
24,your,3426.789928358325,angel
25,my,3239.598472724357,angel
26,just,3205.2478564920566,angel
27,angel,3064.1845416453966,angel
28,with,2996.480480776296,angel
29,think,2989.2696948719,angel
30,here,2948.6798551150973,angel
31,no,2922.772470358908,angel
32,like,2729.051834201061,angel
33,all,2723.0102691831994,angel
34,so,2696.29704220582,angel
35,there,2638.8643778648066,angel
36,would,2587.353293004683,angel
37,right,2552.161911164007,angel
38,on,2441.0,angel
39,out,2420.992384638016,angel
40,about,2346.500015164511,angel
41,well,2300.1594306594025,angel
42,if,2260.3105813298566,angel
43,cordelia,2227.451710123426,angel
44,want,2215.0343684454474,angel
45,but,2201.4720931848947,angel
46,how,2165.73657492701,angel
47,ve,2061.50070069764,angel
48,say,2037.887927818076,angel
49,come,2036.5933563566464,angel
50,see,2013.192650252217,angel
51,one,1984.609358615531,angel
52,now,1874.3750492432223,angel
53,thing,1871.1898095183649,angel
54,good,1783.1489200920175,angel
55,make,1746.3287224660453,angel
56,gunn,1731.0671746489056,angel
57,take,1707.307150258336,angel
58,up,1679.2548159135235,angel
59,angelus,1612.4529287568405,angel
60,need,1587.6100418138265,angel
61,could,1555.4992485967484,angel
62,why,1512.0817296482212,angel
63,tell,1507.3185546084565,angel
64,let,1488.306826522661,angel
65,yeah,1472.241656355348,angel
66,at,1456.1470291579374,angel
67,kill,1455.5029236477344,angel
68,who,1429.9752161633858,angel
69,his,1410.7893804424546,angel
70,find,1379.70114986533,angel
71,should,1375.1223049753355,angel
72,okay,1366.934794619784,angel
73,look,1359.9954819943696,angel
74,back,1359.0063172391417,angel
75,mean,1347.2819711005704,angel
76,wolfram,1335.002800014064,angel
77,lorne,1309.089032302699,angel
78,something,1303.215329599145,angel
79,where,1290.996175583232,angel
80,really,1267.3720084018414,angel
81,wesley,1262.0940602139424,angel
82,some,1260.0681080401844,angel
83,fred,1257.7852033091187,angel
84,oh,1248.9660744593043,angel
85,time,1240.9211347131636,angel
86,cordy,1238.8357867278164,angel
87,from,1192.667104728975,angel
88,when,1171.8531321780108,angel
89,help,1132.065609005096,angel
90,our,1121.728648379869,angel
91,work,1120.619465285954,angel
92,never,1060.8726497471785,angel
93,more,1031.5908162691946,angel
94,then,1031.3214838554386,angel
95,guy,1031.236505733379,angel
96,her,1021.0899678902936,angel
97,or,1003.7836507000892,angel
98,give,993.573183008821,angel
99,maybe,990.8729094114784,angel
100,try,962.1159508926968,angel
101,as,956.0,angel
102,connor,950.082161432169,angel
103,way,941.0539839259852,angel
104,demon,927.3357097754104,angel
105,happen,921.5272202819768,angel
106,darla,901.6437814078338,angel
107,because,895.1872265494798,angel
108,yes,893.435588879877,angel
109,sorry,892.7882882184721,angel
110,talk,856.6120812388465,angel
111,little,843.0131785013999,angel
112,too,833.3726921484566,angel
113,feel,821.8040871866975,angel
114,people,810.0606187230874,angel
115,thank,794.2752119202657,angel
116,down,759.6070161728605,angel
117,an,755.0,angel
118,still,754.7398131851163,angel
119,vampire,748.3027672558756,angel
120,off,741.9340076120903,angel
121,only,741.2731676856412,angel
122,any,740.5639783272969,angel
123,anything,739.4690398654457,angel
124,into,730.008881572924,angel
125,leave,725.4864267364981,angel
126,keep,712.7147324351158,angel
127,much,710.7911523322093,angel
128,by,705.9674402037358,angel
129,love,701.6376674101364,angel
130,hart,697.3464563620141,angel
131,hey,695.2984805417337,angel
132,hear,691.9584377338771,angel
133,lilah,691.510961301547,angel
134,call,680.7114803852554,angel
135,nothing,670.4806846485426,angel
136,even,669.9518484890089,angel
137,than,665.0292245084565,angel
138,man,651.5770290568952,angel
139,wes,649.6493235114851,angel
140,over,644.8845603649788,angel
141,everything,644.3464974304424,angel
142,before,644.0348107760942,angel
143,wait,625.035270230928,angel
144,other,622.072791346427,angel
145,god,611.7440827009277,angel
146,bad,611.6349071220728,angel
147,again,610.1241599077163,angel
148,use,569.6645987133053,angel
149,two,567.588867568669,angel
150,their,562.4757109530503,angel
151,kind,560.9679381450774,angel
152,life,555.1521218049742,angel
153,spike,541.3954434686782,angel
154,us,537.602798637446,angel
155,sure,536.8435778114424,angel
156,big,536.7303656398867,angel
157,bring,535.448953727383,angel
158,world,532.5428395781604,angel
159,name,523.4737834720786,angel
160,fight,519.5440567267856,angel
161,always,518.0142063135047,angel
162,day,515.3640383014456,angel
163,believe,511.7874928148395,angel
164,ask,508.5172851930194,angel
165,guess,506.354722570114,angel
166,put,504.5283325439305,angel
167,these,501.3833455766283,angel
168,evil,501.3578009658036,angel
169,enough,501.008560046351,angel
170,might,499.6772337285278,angel
171,around,497.80468465785066,angel
172,friend,497.1591124638637,angel
173,those,495.0766847791897,angel
174,hell,493.8305522815822,angel
175,great,492.31573463654667,angel
176,start,492.0934942483893,angel
177,very,491.9034062856983,angel
178,last,491.8599408362456,angel
179,head,489.898181384906,angel
180,stop,484.32210021797215,angel
181,care,481.4783970228338,angel
